"ARID3A"	"ATF3"	"BHLHE40C"	"BHLHE40_V"	"BRCA1"	"CEBPB"	"CEBPD"	"CEBPZ"	"CJUN"	"COREST"	"CREB1"	"CTCF_H"	"CTCF"	"DNASE"	"ELF1"	"EZH2"	"FOSL2"	"FOXA1_SC1"	"FOXA1_SC2"	"GABP"	"H2AZ"	"H3K04ME1"	"H3K09ME3"	"H3K27AC"	"H3K27ME3"	"H3K36ME3"	"H3K4ME2"	"H3K4ME3"	"H3K79ME2"	"H3K9AC"	"H4K20ME1"	"HDAC2"	"HNF4A"	"HNF4G"	"IRF3"	"JUND_B"	"JUND_H"	"MAFF"	"MAFK_AB"	"MAX"	"MAX_H"	"MAZ"	"MBD4"	"MXI1"	"MYBL2"	"NFIC"	"NR2F2"	"NRF1"	"NRSF_H"	"NRSF"	"P300"	"P300_H"	" POL2_B"	"POL2_H"	"POL2S2"	"RAD21"	"RAD21_H"	"RFX"	"RXRA"	"SIN3A"	"SMC3"	"SP1"	"SP2"	"SRF1"	"TAF1"	"TBP"	"TCF12"	"TCF7L2"	"TEAD4"	"TR4"	"USF1"	"USF2"	"YY1"	"ZBTB33"	"ZEB1"	"ZNF274"
"ARID3A"	1	0.262587083812447	0.702423534760938	0.209561578289732	0.64834001981288	0.623978934630165	0.50806440662228	0.359659605981973	0.446059799436163	0.752934132997849	0.544425015348076	0.277258889022268	0.229743225494268	0.614203020230152	0.497235167212149	0.15101934414815	0.516343457042784	0.215454171360536	0.404670567983905	0.0666434827408626	0.265619245995274	-0.207820345909514	-0.225269317877788	0.32408980939391	0.0810511949292154	-0.190322531399419	0.140851356831631	0.333855466457051	-0.166212564488405	0.305188229348643	-0.152873660794544	0.528321769267694	0.366444351673521	0.420853565898183	0.43244592658078	0.684630834646899	0.550761087183093	0.66793692360287	0.660915935800491	0.676541400355707	0.5049611259338	0.696608440753665	-0.325715033957016	0.566388061718098	-0.0658705549439303	-0.145509900283447	0.201030651787678	0.39072812549192	-0.262341744065842	0.411515229033378	0.787050136528072	0.485079006559855	0.632438617004942	0.368434048639006	0.622531588424757	0.617666493999063	0.437325744722851	0.709350211855333	0.419367374444406	0.469845146923932	0.61126851877534	0.372169814377667	-0.223668404152406	0.38841046266736	0.387897960280179	0.692695973484667	0.242623308922324	-0.102381504122092	-0.269999785551966	0.266210286950515	0.382250839691824	0.543768184746704	0.520337452331244	0.110265703869306	0.144509253342415	-0.218263058770483
"ATF3"	0.262587083812447	1	0.416020903755861	0.345218401912963	0.359061892034945	0.213084099955621	0.514908833645578	-0.0752857851350106	0.0360774784025123	0.375553301659776	0.372879352521858	0.416779787484266	0.169264205148873	0.355382074844915	0.457294832274441	0.0709520767138959	0.419673744897568	0.184469239624358	0.251866054877276	0.108790808910628	0.174516188681925	-0.256026086573021	-0.145697004090689	0.175822144541312	0.0987955023801894	-0.085284191631568	0.0341413705536042	0.309020967553445	-0.0135282300731864	0.280660261272872	-0.110693882813988	0.478212382303016	0.311617572675949	0.376934530496504	0.0928923259933711	0.235222231056565	0.352100377885413	0.184716569933828	0.219388289025621	0.448586121703533	0.408910275297772	0.386370775431361	-0.261591542410127	0.363233629362147	-0.125724678491691	-0.151627630261722	0.0309854150339207	0.115396886178213	-0.15744833277101	0.491811317849325	0.355671057995822	0.333383608397923	0.316396542653363	0.142883336929561	0.243875251843143	0.240978181072923	0.436336733140839	0.346881445508846	0.236045953900341	0.399904598759285	0.11818498779593	0.0646515161345612	-0.0473665745223818	0.430825578805047	0.30111428509825	0.290627686830299	0.162652828509032	-0.182631128003221	-0.283396136014566	0.23706008767803	0.367173691401537	0.320801145468286	0.521884647859192	0.14718718635599	0.0642674037559891	-0.224121767896663
"BHLHE40C"	0.702423534760938	0.416020903755861	1	0.293750369906778	0.744071296080981	0.538303257020895	0.585346059583185	0.198826890139584	0.26049576139529	0.816714874578431	0.618228392017655	0.322435575880166	0.269117780380166	0.722158122345653	0.567441348708851	0.21441365691716	0.502800828628839	0.0793922183189892	0.293834952475611	0.0677780431294372	0.376771113864325	-0.307256330363152	-0.2213773650993	0.378031177139597	0.177321814840671	-0.170906417837304	0.183605521811783	0.489683414194109	-0.0721784480142038	0.442368055563853	-0.159495670455838	0.530093842076041	0.296720985324333	0.378425707273861	0.382620832044806	0.595795843123908	0.607579401486753	0.597720943789853	0.611096650907796	0.855784607573836	0.697650611080997	0.789556073101217	-0.515512903590262	0.693011082521716	-0.248572369766788	-0.329443576768211	0.0942232983900947	0.357122427859353	-0.336441195595501	0.488874279472647	0.803130974435338	0.395167824848942	0.731870935540364	0.398990482551507	0.665209298423026	0.58404646129533	0.444980061561524	0.773965756205271	0.405067542882668	0.622225913283181	0.474231756086718	0.286579790723267	-0.272325556872621	0.381763997590108	0.529029725467063	0.734591644426966	0.214652111733663	-0.228706721163637	-0.489630116862332	0.360814955571686	0.551045834592404	0.691220171377144	0.653837621712735	0.147181295900658	0.0673306324644211	-0.319106359431798
"BHLHE40_V"	0.209561578289732	0.345218401912963	0.293750369906778	1	0.110359809833598	0.164052188612245	0.368147776238343	-0.0413173195410013	0.0464963858984065	0.174817879061537	0.223971543132511	0.246864231723506	0.0603779073835041	0.198543811402763	0.295553548843552	-0.0209343507810697	0.377312800870314	0.37731241626889	0.333430098785166	0.0891037801931678	-0.028045365080893	-0.103861778162146	-0.128549361400714	-0.00305554838485589	-0.0880581456454182	-0.0659056843353033	-0.0564589995891936	0.00572183704036222	-0.196773468604017	-0.00644530713803369	-0.108726467473771	0.432820916251744	0.378389166981036	0.38178461866369	0.0230757342719827	0.15898102539985	0.27207426869111	0.0930813799508736	0.101826724876397	0.228413131202581	0.245487313498893	0.210261455286677	-0.0211724241743505	0.214013083796217	0.114854735428316	0.0799108423959952	0.119428364370779	0.0218117836593521	-0.0049843781321496	0.342247218502704	0.207524693824218	0.403806596439352	0.136840675936203	0.109604985526353	0.104345285477402	0.134033935580217	0.319930245250636	0.146240703333201	0.269280041676071	0.200206632927183	0.102665938218836	0.247210990628103	0.0158960097829722	0.352152273525446	0.14901686068053	0.168104472694761	0.304170475390628	-0.0310561191619798	0.000909099801505412	0.116929257610367	0.269921696884709	0.128055446072263	0.279707167578363	0.127625352255886	0.0827336964788514	-0.100506491905458
"BRCA1"	0.64834001981288	0.359061892034945	0.744071296080981	0.110359809833598	1	0.505601034575492	0.519199462203631	0.304353917117361	0.279575118206125	0.860187198258159	0.506550331896992	0.303676000307206	0.239389790926308	0.598899042907237	0.466953418353019	0.211971323183668	0.349838664941173	-0.062690449258491	0.100378105201339	0.0750406505995913	0.344038778345338	-0.379130667276281	-0.186565045705627	0.344973921985724	0.249067644058444	-0.0992203030704484	0.129534596778942	0.528350646012368	0.0208884548227691	0.477993680543373	-0.106120104020705	0.37548497641213	0.178524468083034	0.232219492756422	0.488787759109004	0.548247117485243	0.489400372444056	0.612763494287708	0.623599033168381	0.779553549587242	0.536250582145515	0.779424691733641	-0.541402810608526	0.546913837258684	-0.351222458045377	-0.426698026519774	-0.00561663504445241	0.450608151028349	-0.320561475387826	0.443413917771694	0.792139586079064	0.182831772025871	0.725164998280276	0.317003928577773	0.735239951989758	0.595171663022889	0.361450020423182	0.812462637093867	0.282484149379508	0.587229040944274	0.474737476274782	0.113889338077465	-0.197268842368468	0.283194231527203	0.510148833507454	0.693589794422426	0.148687215940889	-0.298282884236562	-0.566412329337318	0.302569859505552	0.356377032918447	0.666784029123297	0.602373152693434	0.18590022061977	0.0130076139775468	-0.345430805042176
"CEBPB"	0.623978934630165	0.213084099955621	0.538303257020895	0.164052188612245	0.505601034575492	1	0.46357605759499	0.278364216001712	0.404970755293611	0.568321706952704	0.433156435570713	0.159186236594336	0.142197410724179	0.47221166830312	0.367557765884117	0.120522675136288	0.394277024305865	0.17058263062755	0.316713477320028	0.0437632582642067	0.2043860763337	-0.146063870508336	-0.160842104288797	0.246857538652065	0.0717700353607438	-0.156145274505956	0.118765074549085	0.264591427907393	-0.110999906783824	0.231863555173161	-0.0913910259182398	0.422613714927449	0.297527226827487	0.33524155999409	0.329019021340044	0.584728963904975	0.41094485748523	0.509313882579459	0.498843877259082	0.517155461310927	0.382608766542711	0.520371853391975	-0.259459890083541	0.428154513706807	-0.0606456752875898	-0.126607310312673	0.139599541312625	0.309696386641052	-0.209955867080227	0.306580548643792	0.633596988967872	0.387227455958466	0.493576368012369	0.260550852659518	0.485458564986368	0.436696289579829	0.294047527714473	0.555704295173862	0.314248694083362	0.353069046173053	0.495766662210955	0.282171920376905	-0.201462705228576	0.284574400566006	0.287431349962408	0.526860820980857	0.161444367752936	-0.0809870576644917	-0.203221151937771	0.201133721819007	0.279301656393798	0.432313191926122	0.382105771824278	0.0698982882896145	0.0953881678173248	-0.172246811392859
"CEBPD"	0.50806440662228	0.514908833645578	0.585346059583185	0.368147776238343	0.519199462203631	0.46357605759499	1	-0.0273575405767268	0.0413837666178386	0.612240814498039	0.624927245932583	0.428934022603878	0.180153123877042	0.66446093518608	0.696950693249565	0.113606313348991	0.621922663158603	0.302971437749136	0.441929058844411	0.172282279161995	0.264254308864897	-0.402052314421034	-0.271649804340448	0.332555797047493	0.12503681953411	-0.22188113771915	0.054261274576991	0.413384501020403	-0.160218575614134	0.389250037689519	-0.223542870910741	0.716541408161325	0.498945026236914	0.596728334825581	0.157961967186595	0.378640347207054	0.629052105721717	0.360341074065716	0.38425206080526	0.604201903839175	0.586461498229122	0.686694567906448	-0.39037245611278	0.607800895324658	-0.100055351043807	-0.179884294478864	0.177955077148057	0.136721762438133	-0.234840975528134	0.676293714028183	0.611194156320754	0.592284570150973	0.639935469696089	0.521055475100377	0.493610174994779	0.358053722698812	0.557044935848542	0.567755515866214	0.480989142084262	0.647522198772548	0.24779862803023	0.391869832637424	-0.146900924453659	0.621187003343249	0.599833519971983	0.626092175921294	0.336625569444027	-0.211707318119846	-0.374180025897881	0.38472300795461	0.458633166342674	0.330278523017383	0.746569219297803	0.240689708119899	0.15479310318169	-0.316559961299041
"CEBPZ"	0.359659605981973	-0.0752857851350106	0.198826890139584	-0.0413173195410013	0.304353917117361	0.278364216001712	-0.0273575405767268	1	0.452688499736482	0.279473078889782	0.00544071891959657	-0.0506246154360215	-0.0267391006102993	-0.000267995161854688	-0.0129740568351275	0.000502316962218411	0.0179360723802751	-0.0017503689646629	0.0286325977160941	-0.00830377413884094	-0.0229325988730938	0.0404098068585444	0.0140067155737341	-0.0225001161435973	-0.0213016486518049	0.00920172525948803	-0.0132745528722808	-0.0540876021415317	-0.0321332662915889	-0.0480515287554784	0.0104624859182793	-0.0406562809168491	-0.0325770628177559	-0.0179436847913796	0.485185713549543	0.336260451844998	0.00282819621151462	0.401128886449812	0.386444870028835	0.176509348264575	-0.0659857907403582	0.197201101552737	-0.00263969038317233	-0.0113119033648109	-0.0127230433870512	-0.0155173326913831	-0.00863254946060724	0.410525220262016	-0.01595861301517	-0.0609529255189371	0.296610983196326	3.37617199642556e-05	0.155195846690261	0.0163717792567424	0.32381699699375	0.270017484505197	-0.0451215728105141	0.297085436824261	-0.0307088169025705	-0.0384853916398716	0.423782921021542	0.0704673162485999	0.0230750199831907	0.0199790013943413	-0.0473626099627813	0.19634514301411	-0.0255914926448823	0.0403035908882076	0.00150231485564411	-0.0351046261377314	-0.0192997670379733	0.336619541876124	-0.0575337817615523	-0.0413333477226853	-0.00433909586588883	0.0343726841835966
"CJUN"	0.446059799436163	0.0360774784025123	0.26049576139529	0.0464963858984065	0.279575118206125	0.404970755293611	0.0413837666178386	0.452688499736482	1	0.286490628879464	0.124311129532229	-0.0304325484040535	-0.00751923169987952	0.0761262737051092	0.035083473168001	-0.00408201054238291	0.222792822059307	0.131684886481928	0.162630252008615	-0.0252939616508144	-0.0129041378395761	0.0765425229233078	-0.0386432997457287	0.0374181420478914	-0.0580935262108805	-0.0453009146192903	0.0225663682568232	-0.0429837842460585	-0.0847754706667169	-0.0296381816323079	-0.0203338332960378	0.116368229884245	0.103701400639562	0.100525211432155	0.358191909517641	0.600296620309263	0.172959489944166	0.417169327347776	0.406120991780143	0.208929863865926	0.0317628653663089	0.215681964713271	0.0405720590929909	0.0753326033186174	0.0830442674505296	0.0820071615856449	0.0978287781545895	0.339020704164371	-0.0199870302961747	0.00823359550037209	0.370141669999951	0.185370923877423	0.186841328636651	0.0399691586216284	0.313981419708258	0.297629322624265	0.0388411256677423	0.298849155607131	0.0899798503041165	-0.00530536581108094	0.422036329349445	0.116135819141878	-0.0535798990820433	0.0520600770321127	-0.0343721108060465	0.232129017088884	0.057970554931417	0.0886677939609568	0.0920389707153831	-0.0101869819343939	0.0313210209265889	0.299500878204307	-0.00167503992035188	-0.0289019521005467	0.0670150027386955	0.0384286440610623
"COREST"	0.752934132997849	0.375553301659776	0.816714874578431	0.174817879061537	0.860187198258159	0.568321706952704	0.612240814498039	0.279473078889782	0.286490628879464	1	0.601502822474146	0.344662871192637	0.280271566928663	0.719978186869509	0.564649700935602	0.225742537992293	0.466865709927578	0.0205471921218407	0.219445107929833	0.0791916684577199	0.37566428793181	-0.364491075998243	-0.225770203871738	0.376636060685436	0.208578900722455	-0.156771819622508	0.156892854573555	0.540833257703442	-0.0522635743512415	0.476048555096193	-0.147750226443703	0.51489009749797	0.287054098278879	0.363386293503012	0.466984141889024	0.611120385070296	0.599228089536944	0.660752712125007	0.669449896694927	0.841410105210541	0.627730018009899	0.859092968083811	-0.566357854070814	0.661386188636299	-0.307374417252013	-0.404928518446419	0.0721570196692748	0.434207983078357	-0.340225269068619	0.507308912692757	0.876121454069014	0.338784579846979	0.792310134304356	0.404473409105618	0.762233743462871	0.653236035261567	0.457047521170757	0.860205021327211	0.39717728296722	0.64896440272551	0.533875173282526	0.234487506644569	-0.26345726716148	0.370547359738177	0.557953552044453	0.777983027419787	0.21418592008314	-0.274017236853748	-0.556370497743535	0.360489734902428	0.43735261437521	0.670005040682179	0.683232891809943	0.182977567745657	0.0705407513781478	-0.350487143716334
