"ARID3A"	"ATF3"	"BHLHE40C"	"BHLHE40_V"	"BRCA1"	"CEBPB"	"CEBPD"	"CEBPZ"	"CJUN"	"COREST"	"CREB1"	"CTCF_H"	"CTCF"	"DNASE"	"ELF1"	"EZH2"	"FOSL2"	"FOXA1_SC1"	"FOXA1_SC2"	"GABP"	"H2AZ"	"H3K04ME1"	"H3K09ME3"	"H3K27AC"	"H3K27ME3"	"H3K36ME3"	"H3K4ME2"	"H3K4ME3"	"H3K79ME2"	"H3K9AC"	"H4K20ME1"	"HDAC2"	"HNF4A"	"HNF4G"	"IRF3"	"JUND_B"	"JUND_H"	"MAFF"	"MAFK_AB"	"MAX"	"MAX_H"	"MAZ"	"MBD4"	"MXI1"	"MYBL2"	"NFIC"	"NR2F2"	"NRF1"	"NRSF_H"	"NRSF"	"P300"	"P300_H"	" POL2_B"	"POL2_H"	"POL2S2"	"RAD21"	"RAD21_H"	"RFX"	"RXRA"	"SIN3A"	"SMC3"	"SP1"	"SP2"	"SRF1"	"TAF1"	"TBP"	"TCF12"	"TCF7L2"	"TEAD4"	"TR4"	"USF1"	"USF2"	"YY1"	"ZBTB33"	"ZEB1"	"ZNF274"
"ARID3A"	1	0.0563249537314774	0.654401682503817	0.140480086467615	0.351410208113457	0.63682331963015	0.424048520665523	0.40204654279417	0.575821959858848	0.677028060273286	0.607253650652482	0.0565425233590093	0.108925588709066	0.6772600443814	0.468617290752001	0.286104309618582	0.584713375174553	0.441235764577723	0.635385571101454	-0.266610677104504	0.226762371666245	0.184918138702621	-0.0888088327796266	0.474798003023794	0.148295096306211	-0.325910807574608	0.460792956663837	0.386084174686762	-0.0753038241211866	0.369221460844522	0.0463209232137715	0.707393599940479	0.47093989958412	0.622586406889879	0.205008751749859	0.712107820970733	0.604130131490796	0.609788164151962	0.621711951271097	0.497985728345579	0.592476078207049	0.557353398510227	-0.0673186550336757	0.666513839000044	0.180282254532765	0.240038332768119	0.616908336416622	0.117499625756937	-0.210354820075119	0.0974925451155315	0.77751342042716	0.70746375946611	0.437328613378821	0.236115504172082	0.418984680367734	0.610207215159109	0.536760321106127	0.520319279104348	0.54395343703617	0.373099016639673	0.706364444384068	0.521973904302535	-0.493485982740891	0.408945236211857	0.0094071229559679	0.62882689043492	0.252688375975841	0.461938327780105	0.169777388639235	0.119217561242446	0.309538770911651	0.255867752539137	0.398557074820561	0.114090810592748	0.467011602646814	0.166775870205846
"ATF3"	0.0563249537314774	1	0.173966210695356	0.249169162424321	0.143612591060128	0.097532204914863	0.375964839009873	-0.0128864030901677	0.0650333819391841	0.14997912653187	0.112950874708693	0.349444678906293	0.0808312659763384	0.0674554107024681	0.343829302810483	0.0300186628540723	0.310381996281751	0.0742369184145704	0.0757538459861799	0.0829492061890609	0.010858410201482	-0.0972990348228761	-0.00776255573474361	0.0203581982869689	0.0506351774472405	0.012997131645759	-0.0122473580948127	0.0783496737323718	0.014885820634464	0.0631574793152957	-0.013420639958378	0.202180642715552	0.133736527761631	0.16382737587122	0.0445050107038013	0.123150424376874	0.137043593795582	0.101115424862159	0.0860086649906809	0.213099262755547	0.134163492348221	0.168163965529014	-0.0119251732644002	0.0930140862207552	-0.0172837514529628	-0.0360863847891088	-0.0284691171116562	0.0473917427430713	-0.0398099637286355	0.378470476461514	0.121310267242962	0.124608326957818	0.103417679164272	-3.50092885389211e-05	0.122010229528604	0.0859849226244318	0.259149934658379	0.146898670993369	0.0464981372270464	0.137897266540067	0.0754695780410988	-0.0032689117944357	0.0546094979640261	0.318305025570817	0.100147897371485	0.0936411442753614	0.0385085960850011	-0.102884268897647	-0.0430190760046066	0.1140248608217	0.144040261755266	0.150256175047609	0.339212659565179	0.0579845740585029	0.0170782813569832	-0.0976451768287164
"BHLHE40C"	0.654401682503817	0.173966210695356	1	0.138240342735524	0.589312520881557	0.519940607196738	0.428304862176797	0.395284482607304	0.433316481715306	0.788351839365549	0.554958038418771	0.117859260925846	0.207224861044311	0.673580717101529	0.453327039110049	0.341417871685037	0.500023470674147	0.161773101182903	0.344931304668976	-0.221361076237926	0.350429331297594	0.0743303680559094	-0.0269971534835856	0.422458482074656	0.251638647399575	-0.201059636512599	0.431029239890972	0.470691566773096	0.0742509123843771	0.444911991677268	0.0373744794566905	0.514593960524005	0.28008796062145	0.421848921363778	0.31962475136775	0.624585080644742	0.53041637318198	0.625532504704318	0.624412316635579	0.753820942197248	0.641705464829339	0.705767423579903	-0.263712320823434	0.644582969872809	-0.0687802782544123	-0.0470512126596561	0.389942273445478	0.23199855335543	-0.269657471787531	0.148767412064584	0.774717845022384	0.450765545249842	0.63402434354174	0.244520221756305	0.591095620028932	0.649777166481378	0.451624761655067	0.700248727561699	0.413395527053395	0.44571813046364	0.668985627308598	0.308401913497115	-0.447922153700823	0.326255885366872	0.18497584748355	0.708683719256894	0.135857142908674	0.216885608078601	-0.123882327286857	0.193476854579953	0.393851857858166	0.556639374952448	0.462394298395482	0.0726119171793173	0.33966933316184	0.0344007900589683
"BHLHE40_V"	0.140480086467615	0.249169162424321	0.138240342735524	1	-0.0404781496677259	0.122046397827099	0.319388071308115	-0.0715502227334322	0.0812471173511793	0.0361177065925036	0.10254532564011	0.189684699396751	-0.00999234591449839	0.0602206441180991	0.300337208415475	-0.100453615636314	0.30970329357196	0.378198621017366	0.289236999705479	0.0786905674611721	-0.178596857575939	-0.113635255088678	-0.142490535473064	-0.021472238754113	-0.122892700860377	-0.0687502922759514	-0.0603227419989344	-0.0524791443419116	-0.199634168513529	-0.0777199450260582	-0.0619450915388216	0.288058308733314	0.359401254760077	0.281073319132082	-0.0594031384705883	0.1044142895448	0.188499098381068	0.0862561331156315	0.0424202179996178	0.057609473928457	0.0923748176246169	0.0443094110342199	0.216736668859887	0.0510764731465861	0.265376148221061	0.276104421523895	0.125418459287947	-0.0571063901960249	0.0501358047424701	0.392321385776011	0.129320317972636	0.299354125584617	0.0018993770727116	0.032949782082292	-0.00146826577205141	0.0768046606182225	0.264385676249421	-0.0153171144659103	0.223702880648179	0.089843650688943	0.0570283592368095	0.280102920578629	0.0489143747068519	0.306310611904105	0.0187837264645629	0.0538914571074998	0.311919979266288	0.0394731858241015	0.239791603990491	0.0320785040896434	0.149855314435224	-0.0477716942981459	0.244258032687732	0.130633848227969	0.0823782055051284	-0.110168321832877
"BRCA1"	0.351410208113457	0.143612591060128	0.589312520881557	-0.0404781496677259	1	0.275445148978552	0.226429816970862	0.483701664596004	0.28569838973135	0.665262134172761	0.251100581833516	0.134815948842692	0.196576028850585	0.34301090952147	0.213955888601933	0.23689551661044	0.169738566083707	-0.149310266200873	-0.0349567870581467	-0.0639155881160812	0.298061503035586	-0.0396007888080702	0.0376208528751964	0.20104797321299	0.243974384771578	-0.0267984296780768	0.222502989663595	0.337751395393268	0.16158288101001	0.31392276090912	0.0302100062023123	0.135166968834165	-0.0216012700245032	0.076625496215366	0.501746124904957	0.377793244060611	0.19936672459461	0.489133127730508	0.49822677863299	0.662269346787998	0.31181661458818	0.636369697908371	-0.325129547764642	0.297848516123267	-0.255276731740349	-0.271255009701612	0.0380224893565792	0.466106018899327	-0.183768530175067	0.0796314888505795	0.526620487073094	0.0325729759758383	0.558083458931908	0.125143171601063	0.626754236151013	0.527604482340321	0.186946082593315	0.677549006980933	0.0725785567256663	0.267534929414482	0.499395472961036	-0.0274521093474158	-0.191106318498664	0.110960648972963	0.224354402470639	0.550074401936949	-0.055753094092777	-0.0827320574839488	-0.316490355898475	0.148543276130368	0.15792982920831	0.616121432781938	0.30898040500434	0.000956381675542459	0.0816637081256517	-0.0745635513102223
"CEBPB"	0.63682331963015	0.097532204914863	0.519940607196738	0.122046397827099	0.275445148978552	1	0.528370257008223	0.267238849347695	0.511164303427958	0.535297892867959	0.468424319436532	0.0541679559018533	0.0836431268318229	0.521498266364353	0.396209531817945	0.204930580474113	0.452050910233588	0.350608510240632	0.481611219940452	-0.196899942928289	0.156354810496817	0.148505652771171	-0.0721475585910873	0.315853045454597	0.0793637504965736	-0.202812747131361	0.333243366854319	0.274558398449672	-0.0626693981570042	0.240539545679888	0.050697640339399	0.564490896601487	0.401577697102395	0.498013094175845	0.169157690470884	0.617110273450753	0.453388251290564	0.489856292462398	0.467679779758175	0.417087877547999	0.455827393082987	0.429870655590399	-0.0286911375498906	0.476366370012783	0.167234173256577	0.184700667855736	0.449092196287614	0.1015961029254	-0.156451223350865	0.125043766751201	0.662750131337307	0.570224858347606	0.365913852586103	0.140897298113877	0.332769231475427	0.486259589299043	0.422841610771248	0.424219806097096	0.430794336333468	0.272990473982236	0.603328119365787	0.414111861264689	-0.363005928504132	0.319329520966955	0.0121834542891184	0.502742709788845	0.189853577953331	0.299024886818373	0.171631505584888	0.0875526323042355	0.247206937796151	0.242304397975708	0.319776375632666	0.0848053876869096	0.333771274782447	0.0816182836701375
"CEBPD"	0.424048520665523	0.375964839009873	0.428304862176797	0.319388071308115	0.226429816970862	0.528370257008223	1	0.0251866989581613	0.197469907883597	0.42590718968256	0.463967012309411	0.278964087732714	0.0981096845768026	0.478324746550102	0.628409509205157	0.14872542410688	0.571044174526756	0.345424534714762	0.446982445838375	-0.0818673880909026	0.121018812195595	-0.0704561697165253	-0.146553898981632	0.316884702996772	0.121739308384451	-0.20697611510595	0.270708360687692	0.327341832278388	-0.0715299401002331	0.290016761420624	-0.0341018775063144	0.627039244340558	0.472076805638943	0.556142178448963	0.022162042654175	0.374222337486143	0.468770276114233	0.321246880504161	0.295279621414556	0.377626220131475	0.46527887748896	0.412057003925537	-0.0418596626584585	0.430031225243353	0.134096300387288	0.135074952797874	0.354921628146447	-0.0555836300772675	-0.145428689702265	0.450134919938319	0.513237292441673	0.549084221614098	0.396400518606342	0.265511123374966	0.264802581065888	0.349965005223929	0.563958678993802	0.329281446713589	0.434628803518462	0.402395677853714	0.381067783094988	0.393115007009148	-0.271571121743509	0.529150737144254	0.167711165861044	0.448776443429448	0.253758845466915	0.139386423961151	0.0768217083307288	0.161849330480283	0.317714561338822	0.141457162411006	0.585599429190671	0.158081914061206	0.312604173714402	-0.0796693774348135
"CEBPZ"	0.40204654279417	-0.0128864030901677	0.395284482607304	-0.0715502227334322	0.483701664596004	0.267238849347695	0.0251866989581613	1	0.423668026619803	0.48698170992038	0.142497689684115	-0.0263638990551829	0.0249172439998966	0.187597573703906	0.0444558579225604	0.179382315675793	0.0918075877212165	-0.00319535815499677	0.0761956791263412	-0.10019698566917	0.151012902381293	0.125873268036243	0.0983046434433444	0.119073026692602	0.10549308431946	-0.060778108523753	0.145636898337822	0.105429280870265	0.0681491843051064	0.117981396435172	0.0753987635654824	0.127042885376042	0.0043353664306483	0.106758693695281	0.466922468300533	0.380005266618857	0.0932169563150652	0.420091300755422	0.460213740809209	0.405212652837865	0.146498739447039	0.430093373054805	-0.103869217144127	0.194495496597783	-0.0633212528365105	-0.0388790713705021	0.15284815581988	0.450526562521546	-0.0525392563174393	-0.13080733077125	0.414035362864238	0.111657268390104	0.287197505438287	0.0339584912324301	0.440543737720686	0.419854378731041	0.082327577625124	0.468473117990275	0.0570799447286158	0.0589324993524229	0.514672011899859	0.0509949034557167	-0.150613484099657	0.0843235826655714	-0.00365730321018129	0.374696008465839	-0.0605208288701899	0.169228938313637	-0.0608818602166491	0.00151827122643803	0.0335423862993574	0.42117466915257	0.0215518546198293	-0.0241933184604684	0.134353391710694	0.129179194140112
"CJUN"	0.575821959858848	0.0650333819391841	0.433316481715306	0.0812471173511793	0.28569838973135	0.511164303427958	0.197469907883597	0.423668026619803	1	0.462335285590126	0.319259004354892	-0.0383179552453011	0.0102332849788645	0.331718633013664	0.214269366390711	0.13459304013455	0.422832863728118	0.292210361496755	0.367455674913362	-0.144602656286347	0.0642215051294729	0.181728733977538	-0.0227993886077963	0.199402986261232	0.0106276806003313	-0.153557141400796	0.19519387412995	0.0987814365400118	-0.0637662256723887	0.10760722925409	0.0539850279561642	0.37318385690945	0.256907378223938	0.333680223272956	0.273322573772906	0.725514189247131	0.388467099985857	0.509258949397197	0.489651986391646	0.334535776351515	0.258022755046191	0.352801289270643	0.0367581540568308	0.335420379538618	0.159504130050138	0.18066599740429	0.341075102233661	0.247607600447132	-0.0709091056453003	0.0260663547546688	0.539561330436643	0.422342960902582	0.26604489597959	0.07046566580229	0.342452033259864	0.417952434566078	0.242761811050431	0.379142049079794	0.269347488452327	0.0959508927690793	0.533056189156267	0.285662887746063	-0.238830767791821	0.201192044223653	-0.0752656846714723	0.402751951000595	0.130059090379979	0.313148297802015	0.198162491506129	0.0379815506855995	0.0935744182821657	0.255302866030811	0.109382797335524	0.015609431760202	0.24352759220405	0.143768945852068
"COREST"	0.677028060273286	0.14997912653187	0.788351839365549	0.0361177065925036	0.665262134172761	0.535297892867959	0.42590718968256	0.48698170992038	0.462335285590126	1	0.550666529588476	0.108309244267733	0.193324714119043	0.666792491542942	0.447019868100257	0.370311088519256	0.465147581137651	0.114697913608528	0.314382608186971	-0.222222405449599	0.358255131417249	0.0736725762522303	-0.000978768822143617	0.411825250341734	0.255309808731813	-0.205535258068923	0.42123664678127	0.472979994018941	0.0932459724044172	0.431691759398254	0.0500349675405496	0.517651561308987	0.25873148781052	0.428928266015897	0.394916335850716	0.638889053270087	0.510562218705611	0.655174041046358	0.665222183089566	0.74971451440542	0.605109481786612	0.771872512676561	-0.318039750150135	0.627280101642909	-0.116070011875758	-0.0967999416991768	0.382949907113669	0.302340429210136	-0.28441476731827	0.106637325601951	0.802154822270805	0.427364253806118	0.64036270239368	0.228642373284551	0.638822645881216	0.680490564027627	0.441076564846997	0.758042162345549	0.389779188566316	0.438169555039846	0.715957390654249	0.276158176957963	-0.464178645164828	0.315956689211642	0.182313624487228	0.72856349420373	0.0924972906093949	0.207116801536273	-0.170281893805888	0.186865118090857	0.312928296581877	0.556606568381762	0.465962709754861	0.0651197240384417	0.352446248238224	0.0414855164479452
