"ARID3A"	"ATF3"	"BHLHE40C"	"BHLHE40_V"	"BRCA1"	"CEBPB"	"CEBPD"	"CEBPZ"	"CJUN"	"COREST"	"CREB1"	"CTCF_H"	"CTCF"	"DNASE"	"ELF1"	"EZH2"	"FOSL2"	"FOXA1_SC1"	"FOXA1_SC2"	"GABP"	"H2AZ"	"H3K04ME1"	"H3K09ME3"	"H3K27AC"	"H3K27ME3"	"H3K36ME3"	"H3K4ME2"	"H3K4ME3"	"H3K79ME2"	"H3K9AC"	"H4K20ME1"	"HDAC2"	"HNF4A"	"HNF4G"	"IRF3"	"JUND_B"	"JUND_H"	"MAFF"	"MAFK_AB"	"MAX"	"MAX_H"	"MAZ"	"MBD4"	"MXI1"	"MYBL2"	"NFIC"	"NR2F2"	"NRF1"	"NRSF_H"	"NRSF"	"P300"	"P300_H"	" POL2_B"	"POL2_H"	"POL2S2"	"RAD21"	"RAD21_H"	"RFX"	"RXRA"	"SIN3A"	"SMC3"	"SP1"	"SP2"	"SRF1"	"TAF1"	"TBP"	"TCF12"	"TCF7L2"	"TEAD4"	"TR4"	"USF1"	"USF2"	"YY1"	"ZBTB33"	"ZEB1"	"ZNF274"
"ARID3A"	1	0.223650989493063	0.706055061757225	0.179774484986103	0.594634816550499	0.622094440146512	0.489520409763949	0.354690573129775	0.450961925590499	0.729130014171823	0.534053752363944	0.222482103611644	0.222078133149176	0.621009052429764	0.497250812466396	0.176033307584546	0.537803726044487	0.287204123015978	0.441083820289323	0.0459565463113469	0.272314611826939	-0.133442423990912	-0.174908427588914	0.371235080953667	0.0651604222713953	-0.16702353044711	0.156815688203807	0.343450234428257	-0.210861559458568	0.288840540663203	-0.15466848599879	0.559552482785862	0.377400308729858	0.448589126958423	0.40876255526706	0.690291112045986	0.550488425562617	0.639391581712064	0.623603094937237	0.663940119583179	0.525277142690029	0.694368628840949	-0.247368982122506	0.579553208986305	0.0318691249613357	-0.0245167118944573	0.276704922734152	0.365337584077871	-0.208924604760366	0.429574681761742	0.773044621237818	0.521874990034231	0.633398788776676	0.377057402766588	0.60955564180571	0.629900301784766	0.442965931403116	0.673864977036339	0.431938079267137	0.46300375728338	0.646119956618204	0.4122033391341	-0.262294327838332	0.367036582056968	0.355283008398075	0.706584038307682	0.205817991557225	-0.0293090065844794	-0.150624978675088	0.247670927004488	0.371245549606854	0.526006379320766	0.508736718476924	0.128394220914086	0.19325139070784	-0.210262457363602
"ATF3"	0.223650989493063	1	0.353708183547264	0.306888068623083	0.295047546888781	0.233902550551679	0.510060715801385	-0.0591987934348874	0.0430500157427184	0.331620433636488	0.299168025867675	0.399763408195819	0.171501345718011	0.307128341186696	0.454283696141346	0.100908628408566	0.4661765277753	0.194523807615913	0.221704156848651	0.117952156591282	0.168050602753938	-0.175409930547662	-0.0910868554807146	0.173403874490842	0.101304895179601	-0.0445725494557382	0.0320154463311961	0.272090246974564	-0.0505910563478076	0.223090737336988	-0.0759614018060053	0.429937081299734	0.306241311249998	0.380653412816344	0.0822044821230651	0.220446439121563	0.329649054222296	0.194298544160843	0.191159570565492	0.389350075164413	0.335757103864377	0.336458790913183	-0.180078253623381	0.290718817752203	-0.0673346199546805	-0.0897965524354388	0.0455509438655856	0.0974204208571982	-0.111482352674626	0.515695317389938	0.302260779787777	0.331705136418908	0.289994519931382	0.121754682157274	0.221727374937522	0.205096998725753	0.400009660773255	0.301071030741177	0.213364321008791	0.330664249941765	0.144353854703449	0.111829456363615	-0.0304322455636933	0.416477625956898	0.263443295763026	0.26952710454278	0.121922604662731	-0.199333872432168	-0.205545419989523	0.184895994276735	0.303002612728603	0.286675545902557	0.49534558489031	0.128875889077263	0.079633178203742	-0.249337821850938
"BHLHE40C"	0.706055061757225	0.353708183547264	1	0.220525519692087	0.720568275885274	0.570816252957705	0.567420611676576	0.266415175373481	0.326385699768859	0.823675474568125	0.574890688255943	0.263312904260375	0.266511451631561	0.711800667080266	0.558808552612195	0.242761106910288	0.560331793326034	0.12242296894602	0.292491668743462	0.064007089277005	0.380551889604414	-0.191842316370454	-0.158455936280425	0.414773196525365	0.168825156047125	-0.145972171804665	0.187912633247471	0.482562082152932	-0.123926548287404	0.405640282626383	-0.146968853017451	0.531757625926645	0.315032133579581	0.399094532101558	0.404437780651419	0.633541943748872	0.606683435246291	0.61812918933728	0.613941851688987	0.839949491012564	0.668440088299453	0.796541060829264	-0.431791371290825	0.663357088396365	-0.169833861556069	-0.240253811494405	0.180843953818345	0.368208183489795	-0.285724163049243	0.506525024773147	0.80817004218344	0.433863892119734	0.741783432546458	0.36685180310313	0.6778597365165	0.627750994872501	0.457362374426064	0.774289593626913	0.410338123167371	0.581377667497676	0.577501391154511	0.325034795276285	-0.302264924988919	0.360842963696295	0.473897263986451	0.755395398713476	0.171628439357269	-0.169959656396914	-0.382174193979646	0.322430056229327	0.508237665642455	0.693819808913428	0.624316809688453	0.156475828812017	0.140445584960238	-0.303103918625414
"BHLHE40_V"	0.179774484986103	0.306888068623083	0.220525519692087	1	0.0594367454618666	0.153026778815203	0.320481514170013	-0.0621452570932662	0.0529922919927815	0.133121481355689	0.18524142809343	0.229236296040373	0.0450127446491619	0.163747754886152	0.288575115175248	-0.00681134032141612	0.356389204494169	0.361758714114706	0.302675300581661	0.0823545043102608	-0.027357684618643	-0.0359482813161694	-0.0937959713195844	0.0450338801439077	-0.0935149938831486	-0.0469922333015852	-0.0498783545814419	0.00896914351302131	-0.176786133225063	-0.0141962970963245	-0.0778580041140646	0.365225785458249	0.349904852251157	0.356747460133342	-0.000333529237072341	0.140534385571379	0.226810302883069	0.0847764485978819	0.0890935179594582	0.166563350498966	0.187158324037305	0.15200818171523	0.0438136498589935	0.165631897005262	0.152113123238416	0.131429839434775	0.111517431278549	-0.00523806632712936	0.00490665805705073	0.325878203334217	0.171428435804706	0.379796392733103	0.11440292220053	0.123411339358616	0.0809002563162909	0.10656791801126	0.29412898569096	0.0969527601193829	0.238176177501524	0.143680367913107	0.0794815154027589	0.259557889563892	-0.010877868754219	0.327944212993694	0.130498837036244	0.14509108125802	0.235016850616384	-0.006104523543581	0.0625171327956535	0.105188885406407	0.1984862595974	0.0651028287646484	0.272697257751773	0.107463217490438	0.0676915340422432	-0.107966166269942
"BRCA1"	0.594634816550499	0.295047546888781	0.720568275885274	0.0594367454618666	1	0.483408375384607	0.460761125758846	0.342133273863316	0.286363496894015	0.822532320901533	0.443961747057189	0.242087863421072	0.257489031233296	0.574282276358903	0.443999643822477	0.236368397127351	0.391489755004966	-0.0489734843582793	0.0889258521662886	0.090384772927452	0.356353530021151	-0.269458897646452	-0.112606445962269	0.340367805176034	0.244334741068945	-0.0868777982866988	0.144230381808358	0.502468596329855	-0.00186829173184295	0.420909155296231	-0.088526905731523	0.344578623161245	0.150666226065911	0.224363214060451	0.484284592393381	0.534327160148957	0.465893948438405	0.58698795179212	0.582448578697495	0.763008567847237	0.506488622624383	0.759104435717847	-0.47889016011622	0.50274619862056	-0.28910783070965	-0.35330296986417	0.0383010253209111	0.461258345682029	-0.258969841681672	0.436952909270979	0.736019021913064	0.208732932468972	0.687555268932588	0.271567891263488	0.692071422977087	0.59931331658136	0.337057991219164	0.766464256780295	0.263312100837936	0.533975421834336	0.539378388067182	0.130148323503364	-0.20088581208795	0.249217406341177	0.447318654488713	0.668015439088299	0.0941462254363562	-0.271562940811701	-0.487585844492912	0.28453240905631	0.331655429060635	0.677812494143334	0.540913354998845	0.195724597117994	0.079309924980415	-0.323114512448773
"CEBPB"	0.622094440146512	0.233902550551679	0.570816252957705	0.153026778815203	0.483408375384607	1	0.504594810342321	0.250788640206555	0.404609579526032	0.584607110292355	0.436973919122097	0.168998074271778	0.170139593591202	0.504722517180946	0.413652313859658	0.153552288563573	0.45158535242488	0.229712050555097	0.344104316501718	0.0580213960251753	0.221479939566344	-0.0687293959016075	-0.12952202114785	0.270791771131956	0.0499286183956895	-0.116975483440305	0.131805296564864	0.276163177508725	-0.147850984196119	0.217410062145992	-0.107467424598664	0.480781248000665	0.33113782707241	0.410959135746577	0.32759173477935	0.60123971717159	0.434430251774134	0.511656716729304	0.487168447279675	0.550493577286772	0.431137166540504	0.541810555443325	-0.212962087282623	0.444749093979314	0.000945749424479501	-0.0537374619925051	0.206949132691384	0.287401502311022	-0.154037635397236	0.371053233579119	0.655431463230584	0.442545888881945	0.504510270601792	0.262091870839158	0.485897296954714	0.48739882330742	0.347801304415138	0.552112779924222	0.344110846509259	0.357328610314443	0.535602120333119	0.323632063129538	-0.228787049292204	0.310673149302641	0.292696083492222	0.559806344892021	0.160104266950733	-0.0576169890758258	-0.132845176605716	0.195059916820761	0.291106866692549	0.441115223418238	0.413745971961013	0.0908039433462741	0.142176775209489	-0.194084885467944
"CEBPD"	0.489520409763949	0.510060715801385	0.567420611676576	0.320481514170013	0.460761125758846	0.504594810342321	1	-0.027597842814325	0.074364858144532	0.573857633376395	0.594707733072617	0.394274966247615	0.21809461828905	0.657089864743702	0.709047000393477	0.169665154981035	0.689329622251526	0.314721665170691	0.435977278749353	0.152632660189308	0.301242761386095	-0.242472826833909	-0.204461118035734	0.389775528101549	0.105935740456364	-0.170233481397273	0.0922537868700204	0.413262455399654	-0.203165943140931	0.35766885979397	-0.194214875034599	0.708439309721094	0.49839485009047	0.614503472273414	0.127173251524686	0.398643773092644	0.612937484697694	0.367497805895661	0.356960660592716	0.585301200114667	0.587998966423208	0.610281762276166	-0.31631211922169	0.590303211064998	-0.0306974715005234	-0.0914294348305991	0.243497415809019	0.0814790109777693	-0.199693825975549	0.693025165795577	0.574576289509186	0.610696577607523	0.615250657580831	0.470454530010685	0.441617838145865	0.366876737657473	0.5769083790012	0.514250961863032	0.464635175416789	0.585028279940834	0.317046820808887	0.414861203589978	-0.20933038856456	0.584301867160882	0.52557876410871	0.601768362944502	0.259675222789619	-0.173210481235896	-0.275161675941159	0.322176145303841	0.432148860241851	0.329778656355822	0.729194771031419	0.217500050110803	0.205044528175641	-0.322428614377628
"CEBPZ"	0.354690573129775	-0.0591987934348874	0.266415175373481	-0.0621452570932662	0.342133273863316	0.250788640206555	-0.027597842814325	1	0.457451260663542	0.314001269787504	0.0147914516062121	-0.0414908615534814	-0.0252806151272737	0.0127704449754923	-0.00382776675297411	0.00383243931342176	0.00294319195546037	-0.0138498909746598	0.00505533686860289	-0.000344078841993087	-0.0128094046284114	0.0118093007771543	0.028813608394111	-0.00967144222529971	0.00633173752434377	0.00898708833088724	0.000336130413333156	-0.0197877015760596	0.00383849836706193	-0.0238046968031675	0.0186708418072441	-0.0231827096021884	-0.033443313960179	-0.020424026580844	0.512719095139856	0.350749884140397	0.00511154963212366	0.386903907332114	0.392461577157557	0.230225944682174	-0.0288309987633388	0.268015093210665	-0.00879740661359865	0.0080272832160039	-0.0180794288486671	-0.0171774797879571	-0.00198068361643849	0.463131857007974	0.00719648306542836	-0.0387727518403859	0.330064274996369	-0.00811129114698022	0.177673045984749	0.0156326866209258	0.363831662672594	0.328834255271153	-0.0362270621248741	0.339191143305188	-0.00668147194411308	-0.00246220864397514	0.460093303293492	0.0394922328993368	0.0140103777874529	0.018588704045778	-0.0233309393153633	0.225550067702984	-0.0117645228258234	0.0398458220499153	0.00531322908348872	-0.00531667729333307	-0.0105756342229208	0.370468617779694	-0.0448781779657465	-0.0205967537448328	-0.00134565514626782	0.0371029519628658
"CJUN"	0.450961925590499	0.0430500157427184	0.326385699768859	0.0529922919927815	0.286363496894015	0.404609579526032	0.074364858144532	0.457451260663542	1	0.333121979816571	0.140068294041753	-0.010126385745851	0.00173623715493003	0.103818645744473	0.0744715087114858	0.00546379903194796	0.205457106436	0.157311565000823	0.155891352985198	-0.0111137682846703	-0.0213932733315292	0.0702032545784673	-0.0274246452643069	0.0483526201768612	-0.0611035413547023	-0.0315347423787727	0.0363335417185432	-0.010686565544986	-0.0761074555782537	-0.0129080047419422	-0.0108238109190165	0.141687709834257	0.114469551568764	0.122674139437905	0.401502489512984	0.596740391533495	0.172757283516192	0.421458595249431	0.40957667059608	0.275882853725888	0.0840073319054353	0.284044767262898	0.0431197914949073	0.1155201881354	0.103341397365459	0.0959133833739423	0.0963988631438422	0.379501711524094	0.000446876072405071	0.064266857305365	0.413619908625223	0.184409664900413	0.205771549021732	0.0564497858663048	0.34375458824929	0.364348834320673	0.0684827614052649	0.333932716119072	0.114082493897938	0.0258386151936943	0.453446500365265	0.152188722023367	-0.0551464901346903	0.0793257480014454	0.000803942875070668	0.284292459290164	0.0779546661143115	0.082731950312292	0.107914912127207	0.0342997610445792	0.0591047251158327	0.339106480243215	0.0402618094967092	-0.00328540341795811	0.0439136092811701	0.0214163841795464
"COREST"	0.729130014171823	0.331620433636488	0.823675474568125	0.133121481355689	0.822532320901533	0.584607110292355	0.573857633376395	0.314001269787504	0.333121979816571	1	0.567344778287681	0.27419720007548	0.288770945045702	0.71955381685297	0.567956340028617	0.260470452512451	0.53650324964022	0.0648388876354569	0.238102835358516	0.0845222893869235	0.390630621820264	-0.247249381122139	-0.166321407389529	0.413293855684564	0.20837042715608	-0.135636794944116	0.176944832616536	0.530957249112148	-0.0961873704255469	0.438280086729051	-0.144670158167572	0.513558025985542	0.289305328621554	0.377683791082978	0.456756967023252	0.635679702059366	0.596882798599608	0.657831692106235	0.652829221153237	0.839852348796201	0.631737167773644	0.84359209990925	-0.485844809929581	0.645382027079646	-0.224999991488393	-0.295828222186572	0.15198653292478	0.424612886074005	-0.292936519021821	0.517202233649427	0.843050558316993	0.382818938400576	0.779934554179784	0.371909478884719	0.732277294869328	0.672182345697896	0.450621985314865	0.827206286625386	0.39421958969046	0.606338683013484	0.620781154125216	0.280480600006556	-0.291576754413838	0.344362835570397	0.505683941042208	0.783549451215888	0.15782053585378	-0.219324452159463	-0.451954482247657	0.329735194298075	0.420689664062287	0.684438876684686	0.645169282617616	0.189950927076994	0.146419515028696	-0.329383111243415
