"ARID3A"	"ATF3"	"BHLHE40C"	"BHLHE40_V"	"BRCA1"	"CEBPB"	"CEBPD"	"CEBPZ"	"CJUN"	"COREST"	"CREB1"	"CTCF_H"	"CTCF"	"DNASE"	"ELF1"	"EZH2"	"FOSL2"	"FOXA1_SC1"	"FOXA1_SC2"	"GABP"	"H2AZ"	"H3K04ME1"	"H3K09ME3"	"H3K27AC"	"H3K27ME3"	"H3K36ME3"	"H3K4ME2"	"H3K4ME3"	"H3K79ME2"	"H3K9AC"	"H4K20ME1"	"HDAC2"	"HNF4A"	"HNF4G"	"IRF3"	"JUND_B"	"JUND_H"	"MAFF"	"MAFK_AB"	"MAX"	"MAX_H"	"MAZ"	"MBD4"	"MXI1"	"MYBL2"	"NFIC"	"NR2F2"	"NRF1"	"NRSF_H"	"NRSF"	"P300"	"P300_H"	" POL2_B"	"POL2_H"	"POL2S2"	"RAD21"	"RAD21_H"	"RFX"	"RXRA"	"SIN3A"	"SMC3"	"SP1"	"SP2"	"SRF1"	"TAF1"	"TBP"	"TCF12"	"TCF7L2"	"TEAD4"	"TR4"	"USF1"	"USF2"	"YY1"	"ZBTB33"	"ZEB1"	"ZNF274"
"ARID3A"	1	0.200286314914036	0.569169086615348	0.212038168630555	0.463283521244077	0.579562427628539	0.428673994054919	0.353161711903638	0.45144873801635	0.623529028388882	0.395371211064075	0.175247757597351	0.104330612832373	0.451275743765022	0.345297312333849	0.077491187911263	0.449357872677274	0.234785294775264	0.38874490337123	0.0166763949632438	0.0602315015831035	-0.0912420533727931	-0.219699735303506	0.148386276436175	-0.0512587505972533	-0.139424433177985	0.0232781384921164	0.129620885037767	-0.201051340147213	0.11937964306758	-0.120150011945287	0.479089112778573	0.36486419616082	0.410875540185811	0.389118881316087	0.636289545819448	0.501800132998858	0.604414541217367	0.591261103183474	0.513713637301066	0.343447934150826	0.563716841678848	-0.194093643900416	0.411782295553046	-0.0130490699489909	-0.0694018266849829	0.203479663594037	0.306365848047455	-0.154973360969642	0.270175231050384	0.756295218553374	0.451754894523483	0.466145527777323	0.245068491719989	0.513061171722407	0.55662460534743	0.375180500345941	0.565077172993573	0.402467098917721	0.302250049754848	0.602292208213681	0.345669022217599	-0.207291325801807	0.342083601756391	0.22907836625465	0.493557189156277	0.297421651856315	0.0508986592664027	-0.127337447722549	0.184476873747966	0.285141030795596	0.393066459878709	0.356874872579314	0.137719370388848	0.121496868416821	-0.136309181383345
"ATF3"	0.200286314914036	1	0.435604821071087	0.308050029918636	0.358682923571668	0.180118674220294	0.461872100538871	-0.0935656330920566	0.0711892635735004	0.377635333633234	0.338784252177999	0.374426963501217	0.134701336261217	0.3386232812576	0.392884395523242	0.0679529623592319	0.332667438343803	0.0149389401966151	0.0969699315796664	0.0781134678436613	0.160858817450613	-0.201906250789339	-0.0996915385205141	0.13688423366115	0.0821975761172179	-0.0675637089064788	-0.00201038087918616	0.263088872683662	0.00953333833106897	0.233254237709022	-0.0965936966266567	0.359850648014302	0.172780303897565	0.22247868741626	0.10455075823117	0.245889048663631	0.309297540246674	0.1672206785101	0.211238628359919	0.482772125276616	0.409526171291952	0.379108549749955	-0.300487713893287	0.362551836374383	-0.237842169960886	-0.239028450839264	-0.076696812952123	0.210434488047683	-0.178767729833031	0.376804507609049	0.338548054883249	0.175019733732966	0.310738863865533	0.113673429115128	0.269259758167913	0.223362565803354	0.342500605059335	0.351354396194457	0.131399046094198	0.368560674666762	0.0889203533667436	-0.0402323532194952	-0.0829937620582371	0.351943475196399	0.278621782868132	0.219298147973628	0.106370671914195	-0.20063237066443	-0.312151819248597	0.226894334570362	0.39819822829936	0.407466299735563	0.459260863688792	0.123038408627968	-0.0490964025801069	-0.212664340585074
"BHLHE40C"	0.569169086615348	0.435604821071087	1	0.311670162247104	0.672955432601635	0.395939595028322	0.493897160438856	0.168443329826363	0.208349224368925	0.763607872450413	0.504743013133958	0.262826554839883	0.199679284229598	0.625651041985795	0.459926906054022	0.151657491650123	0.373417639546211	-0.0623592248749086	0.123255059973186	0.0563528013223371	0.271496008521077	-0.241550066672783	-0.174573984069828	0.24868004150565	0.0894180885953301	-0.137368954101765	0.0469759611090179	0.346126197029015	-0.0814340486015979	0.317483193095977	-0.166411142761141	0.348589029362269	0.163987402051699	0.216898279583719	0.397600648116265	0.505157641972701	0.509976832028601	0.526355857099758	0.544015487696781	0.827642953164273	0.635946462359159	0.73146451846062	-0.493269271273142	0.621616078850897	-0.32105197687956	-0.378870021989874	-0.0641211970982928	0.386497220700391	-0.311181011125981	0.360615168950592	0.731971597913052	0.213934679210211	0.648137197421752	0.305637250445796	0.615250483301485	0.517206213839397	0.316935055049591	0.719142158622079	0.257081169373878	0.542156196475637	0.379271831214687	0.143663722496071	-0.228375412766854	0.299525784207362	0.464880166291506	0.592335725624413	0.173530144345963	-0.204127115950561	-0.464940611026915	0.324008574694383	0.556484145289348	0.707262459017617	0.558019297747234	0.14186506002231	-0.0418776944325661	-0.287727081507578
"BHLHE40_V"	0.212038168630555	0.308050029918636	0.311670162247104	1	0.0493976988380286	0.160124106154818	0.367361919058117	-0.0643411950096128	0.0829081989219593	0.128789244038888	0.176013514843134	0.207674661486577	0.0100982228913728	0.109273128885819	0.217518112684478	-0.0428988066303903	0.38715236927091	0.380505692887514	0.352236111894076	0.0361449141171974	-0.118478367001359	0.00121522656350288	-0.139938131698301	-0.0549168891220512	-0.173827810051664	-0.0578632664119216	-0.0800825166556927	-0.0921701187884379	-0.193071199152313	-0.0785775083489399	-0.103444689136999	0.458326914397904	0.410991472974527	0.402004713525393	-0.0153568311301996	0.15943723000722	0.308769358268501	0.0929419887841796	0.0947035156608704	0.189145206179415	0.234476294990473	0.158315750663276	0.0685780747541603	0.146669411157489	0.166072877432178	0.153461083026022	0.182529360764654	-0.0498453754765422	0.0685199845199063	0.279189632907928	0.224312566877922	0.438050272683563	0.0558560393248706	0.0593080206996129	0.0675271608075216	0.11640766417896	0.326565716688538	0.0784424251124523	0.334541802615996	0.137034485327483	0.104625409658595	0.29179643663918	-0.00105429931501701	0.342264312337862	0.0663064988018531	0.084988926331396	0.371359140035704	0.0400479316978172	0.0925823131024423	0.071971191798072	0.32145697031422	0.124648981403297	0.187326286355074	0.175575839153517	0.138538065436061	-0.0788206425025302
"BRCA1"	0.463283521244077	0.358682923571668	0.672955432601635	0.0493976988380286	1	0.29189568876371	0.441450290243214	0.20053837527648	0.133859330306644	0.851778472174996	0.470082413983293	0.271945519927274	0.20928356831241	0.580184139620844	0.427274703525323	0.182292438041958	0.216286734413944	-0.238360357898388	-0.0936421820633283	0.105887399908608	0.346016025228332	-0.389744703342236	-0.129206865481796	0.2849385444743	0.235077073074363	-0.0911384113121538	0.019349779279451	0.472974116156928	0.0410983618636459	0.431549543830435	-0.139731779269214	0.161424300262737	-0.000433511025078601	0.0404176675418143	0.465923528888908	0.421876780701702	0.382472199770658	0.496781904443928	0.517130106604029	0.74640885671182	0.496373325818712	0.751524323724435	-0.586882950034057	0.553545390613798	-0.452252855425738	-0.520292877864266	-0.203801845839198	0.427645091076566	-0.34404217057599	0.368421791668145	0.653828113163738	-0.0313758702705895	0.706515861902628	0.319353184964596	0.702380612271619	0.488071799415242	0.211430258358	0.774592296448579	0.0922638727872444	0.593977342469767	0.316968500903902	-0.0614749079918346	-0.128992351763657	0.214296494227307	0.549228501519224	0.60615413694166	0.0587314077892138	-0.347092479854089	-0.605356487005504	0.344164029197154	0.313140962647121	0.609649124800172	0.593878167202561	0.234069348213209	-0.120478451822263	-0.350089850028876
"CEBPB"	0.579562427628539	0.180118674220294	0.395939595028322	0.160124106154818	0.29189568876371	1	0.416964237533358	0.258210697727866	0.460020682573365	0.411657374534849	0.314751812023403	0.0714223864442441	0.0353411097997151	0.31310617598627	0.230307738586578	0.0268789851856858	0.339181181002982	0.203836400620561	0.323837390250615	-0.0399314852576938	0.0151113552359022	-0.0159640972422877	-0.172661041709155	0.0974738973644839	-0.0533459419586207	-0.118931280787671	0.0192250995243269	0.0468769825656311	-0.155946594624701	0.0402844287443802	-0.0937997403039143	0.374325133791784	0.285990599090126	0.325239816378947	0.267399005162537	0.575915749631113	0.360181505738023	0.443150449634519	0.425709920675527	0.340996850193142	0.231936085268098	0.341897634698575	-0.127571718032552	0.278677553698547	-0.000887939269287218	-0.0372785772107369	0.160519021015405	0.208493735580022	-0.129826859762147	0.148711715068629	0.580832814285568	0.385665664326437	0.308457146642139	0.151034087201386	0.348946512648766	0.377600419742759	0.244499226799763	0.3994843083371	0.304101087924942	0.180680673056083	0.502450527883178	0.296277158063143	-0.208438644771856	0.231389706241403	0.111080102112905	0.304491465391933	0.20201372679715	0.0688195461978788	-0.0567951267818725	0.0866068962554307	0.20161588117181	0.294491269115231	0.200956945074404	0.0787480003939287	0.0814644374218415	-0.0820409495063872
"CEBPD"	0.428673994054919	0.461872100538871	0.493897160438856	0.367361919058117	0.441450290243214	0.416964237533358	1	-0.0758811878888079	0.0471281789910168	0.54698845036194	0.507597986937565	0.355382432839164	0.102659277604798	0.526298414644081	0.55412694080724	0.101756408189005	0.547507006088366	0.208658129307558	0.330495515550672	0.103104132437203	0.11046988199436	-0.289474718642517	-0.215306173848321	0.165922943915974	0.003899173423025	-0.147641728736568	-0.074976107934046	0.227584286443282	-0.162786572724067	0.215895397045632	-0.188945036142124	0.610851269190087	0.436220036098741	0.516736873786208	0.126607101118586	0.324458403006117	0.595578605196679	0.291635623339677	0.312992019689103	0.492479103659889	0.481917991862729	0.609859804705715	-0.312052257274684	0.495058372526829	-0.121038046194595	-0.165736219295282	0.143937153848747	0.106681076658904	-0.117356545915564	0.555139596329673	0.559923901523561	0.494154373636159	0.528681627113034	0.44091064802015	0.451141838371546	0.30024260379686	0.488271958844765	0.468267699614189	0.436297870143776	0.543780660667083	0.218583612542814	0.315327424331919	-0.102115146162179	0.567828820395644	0.519188349756479	0.479869114872724	0.372993825776127	-0.141922517457589	-0.28670433680326	0.327874284913397	0.404697355195195	0.267648787897025	0.613832263224001	0.304038757180117	0.135316582968572	-0.262677346375111
"CEBPZ"	0.353161711903638	-0.0935656330920566	0.168443329826363	-0.0643411950096128	0.20053837527648	0.258210697727866	-0.0758811878888079	1	0.417559591536329	0.217008384020634	-0.0464207280761171	-0.0745574453364509	-0.0517026799617953	-0.0570757542635941	-0.063831241658172	-0.0143693925252633	-0.0283618710907757	0.000561103510171693	0.0194950647770381	-0.0176277900846545	-0.0511668774407366	0.0389614661725759	0.0155840264890532	-0.0312344180461271	-0.00475903227606493	0.0249490542919077	-0.00198979421683199	-0.0565261652666105	-0.000746722806751328	-0.0479328059691639	0.00838357113455809	-0.0542871998230476	-0.0414715172567137	-0.0306495855263961	0.47517828015967	0.307134898134974	-0.0411480465710299	0.370702217808445	0.362921848411953	0.130267771040247	-0.122218368563177	0.160545562088556	0.0255334584547502	-0.0702540432011743	-0.00964652594827226	0.00510575358890122	-0.023144496940956	0.281729755097571	-0.00460926115184233	-0.0963448133908412	0.287170624547286	-0.0144522053284104	0.116286596899591	-0.026297522394054	0.276441220758371	0.272422326926918	-0.0618339060458866	0.264346757337888	-0.0361304183569474	-0.0789888241147802	0.440034176977314	0.0831915486621638	0.0184641449837826	-0.0201673047699331	-0.0856815557565544	0.125706505446075	-0.0223498137149342	0.0773329106317218	0.0283648373676384	-0.0522696623730447	-0.063642084749056	0.271534527112722	-0.109150618911327	-0.101976417849846	-0.031210792053218	0.0514084566975751
"CJUN"	0.45144873801635	0.0711892635735004	0.208349224368925	0.0829081989219593	0.133859330306644	0.460020682573365	0.0471281789910168	0.417559591536329	1	0.197686487990522	0.105481246567185	-0.0591316913475846	-0.0741561436406642	0.0122372123859135	-0.0179203186239304	-0.0754435583969858	0.232630060441078	0.180515457881577	0.208103471832828	-0.0806399578557749	-0.128348344228099	0.128816473193913	-0.0690906189583025	-0.0335540475381905	-0.117861353108705	-0.0395406117405181	0.00067879989547299	-0.133213732073288	-0.0869289493527434	-0.105681652522258	-0.0203448105398228	0.1645894638991	0.161251232597251	0.168369103602526	0.299948221746445	0.669911398776553	0.199985063951956	0.396234794660435	0.376692481430428	0.134363252358826	-0.0291286243511127	0.134562332875193	0.0947010925939869	0.00571437771814387	0.108354723364543	0.127884723192725	0.119648644016181	0.216723477243445	0.0286032517031091	-0.0500541943128431	0.389194736929999	0.238301305409618	0.0891940491216407	-0.019581509053007	0.230707784767072	0.291948467095991	0.0534375434549663	0.235706995505337	0.138411542139368	-0.0924231120964887	0.447722143695966	0.187754023483203	-0.0978541339323859	0.0670716153645421	-0.122695741625607	0.100943221601047	0.110321265024286	0.188621157979504	0.15084495193591	-0.0557982865994374	0.00763788182850051	0.207068285099823	-0.0794220916821109	-0.0507258391446532	0.0299487171526416	0.0822359353151158
"COREST"	0.623529028388882	0.377635333633234	0.763607872450413	0.128789244038888	0.851778472174996	0.411657374534849	0.54698845036194	0.217008384020634	0.197686487990522	1	0.508379728330606	0.308362417666184	0.226922830073832	0.674174096512873	0.4815144955155	0.198058885393041	0.349781496873222	-0.130477345738931	0.0371515729218238	0.0747183733899423	0.305347648229058	-0.335881866865994	-0.177792507154249	0.265828608844818	0.154066892585086	-0.118235999868021	0.0370692165225216	0.447217942898797	-0.0419098021299256	0.388301693114525	-0.160884763355323	0.335486770637638	0.144442340826082	0.203056073277399	0.465425697295192	0.523089577613551	0.514273541468288	0.58823132279159	0.613782778055687	0.810566045758566	0.567785065833486	0.83579467399792	-0.572508968156764	0.630758675342092	-0.390996233745564	-0.476593901950017	-0.0970819804458918	0.441945630383732	-0.337715415675945	0.41480622452055	0.800041570011401	0.14582989631977	0.758945748644339	0.365275854104199	0.741951417659913	0.598441517529751	0.336580447658642	0.827189928872152	0.249887831859696	0.61370483179939	0.439257903175711	0.0683275988475715	-0.208850339942637	0.295081262419748	0.550590682745041	0.672989660252103	0.168422964574172	-0.27982236009631	-0.563806082150945	0.368170996261492	0.391410110299127	0.636827747928065	0.642462984002363	0.206559933317475	-0.0413717114230632	-0.339349546187882
